76 77 26 57 58 8 43 30 97 46 
25 25 59 36 41 63 61 2 72 16 
81 32 44 67 54 40 29 60 81 53 
32 55 41 67 38 43 1 87 75 47 
62 91 77 29 17 92 3 81 13 1 
43 27 8 6 95 1 43 19 69 42 
23 54 32 23 19 23 21 11 99 96 
79 100 42 40 47 90 96 46 5 83 
85 91 12 2 99 31 39 53 60 46 
71 84 35 78 85 9 9 99 84 4 
42 24 1 40 71 84 3 58 36 18 
85 12 96 98 47 53 72 97 52 52 
32 19 97 8 25 7 33 87 17 98 
37 46 95 31 58 24 29 14 61 62 
58 70 50 100 67 75 44 37 21 4 
45 1 37 0 70 75 17 100 36 70 
29 77 94 29 65 66 44 86 33 92 
47 3 31 81 79 85 61 68 78 61 
97 20 99 13 33 76 45 1 92 53 
59 39 22 13 58 28 43 47 25 30 
79 69 14 48 15 44 70 35 14 3 
51 20 60 49 18 72 66 97 63 28 
54 86 50 91 8 82 51 64 22 40 
1 19 68 67 97 95 53 84 20 29 
14 43 88 62 45 85 89 41 79 66 
72 14 13 15 69 45 94 34 82 48 
64 25 88 8 37 12 8 90 72 68 
92 31 41 17 40 32 32 95 21 1 
2 65 6 50 91 73 39 93 17 89 
75 52 45 99 48 56 45 88 21 26 
1 52 61 100 53 61 95 59 93 31 
9 42 93 100 45 32 92 51 57 48 
70 73 92 28 99 43 3 99 70 36 
66 47 41 92 96 52 100 20 53 72 
48 37 11 94 10 25 2 91 65 86 
8 29 18 79 50 86 87 71 97 32 
98 10 66 72 59 17 92 28 24 35 
96 95 15 24 71 86 8 22 8 5 
31 86 39 1 24 81 28 58 68 40 
68 91 21 3 45 94 26 15 67 40 
61 83 85 7 13 7 52 30 61 36 
97 57 24 60 86 20 40 57 50 7 
76 22 22 19 24 55 44 84 39 19 
8 68 68 62 64 73 0 4 4 8 
36 76 88 19 91 77 98 92 53 41 
32 61 12 92 37 23 71 61 81 48 
97 76 85 61 19 66 32 97 95 2 
99 70 62 62 79 0 93 64 18 64 
31 16 4 8 80 38 24 42 16 78 
45 21 79 91 1 94 1 12 39 47 
98 79 77 35 21 6 40 69 61 48 
47 27 59 91 45 27 52 39 21 88 
7 74 74 93 56 86 33 12 4 54 
90 16 11 95 16 50 70 2 62 26 
29 32 33 37 32 19 32 45 73 13 
90 84 28 54 50 36 81 69 66 73 
53 24 96 53 51 45 64 16 31 68 
34 82 12 59 25 52 94 14 50 80 
86 56 62 67 53 17 60 92 62 23 
93 59 65 51 56 57 60 96 3 75 
20 24 37 31 15 91 79 81 36 48 
28 96 5 34 62 12 -1
